format: 0, nTracks: 1, division: 480
note_off - ch:00,  note:37,  vel:0F time:6208
note_off - ch:00,  note:41,  vel:0A time:6208
note_off - ch:00,  note:45,  vel:40 time:69
note_off - ch:00,  note:26,  vel:40 time:5
controller - ch: 00, cont: #40, value: 44
controller - ch: 00, cont: #40, value: 49
controller - ch: 00, cont: #40, value: 4F
controller - ch: 00, cont: #40, value: 5C
controller - ch: 00, cont: #40, value: 6F
controller - ch: 00, cont: #40, value: 7F
controller - ch: 00, cont: #40, value: 60
controller - ch: 00, cont: #40, value: 4B
note_on  - ch:00,  note:45,  vel:3C time:2
note_on  - ch:00,  note:3E,  vel:3A time:26
controller - ch: 00, cont: #40, value: 3C
note_on  - ch:00,  note:41,  vel:36 time:1
note_on  - ch:00,  note:39,  vel:29 time:8
note_off - ch:00,  note:45,  vel:40 time:1
controller - ch: 00, cont: #40, value: 25
note_off - ch:00,  note:3E,  vel:40 time:21
note_off - ch:00,  note:41,  vel:40 time:0
controller - ch: 00, cont: #40, value: 00
note_off - ch:00,  note:39,  vel:40 time:9
note_on  - ch:00,  note:47,  vel:35 time:207
note_on  - ch:00,  note:39,  vel:90 time:57
note_on  - ch:00,  note:39,  vel:01 time:69
note_on  - ch:00,  note:2C,  vel:06 time:2110
note_off - ch:00,  note:1C,  vel:40 time:2105
note_on  - ch:00,  note:22,  vel:0C time:2113
note_on  - ch:00,  note:47,  vel:40 time:71
note_on  - ch:00,  note:44,  vel:B0 time:68
note_on  - ch:00,  note:22,  vel:13 time:64
note_on  - ch:00,  note:39,  vel:12 time:6208
note_on  - ch:00,  note:41,  vel:13 time:6208
note_on  - ch:00,  note:46,  vel:14 time:6208
note_on  - ch:00,  note:4B,  vel:14 time:6208
note_on  - ch:00,  note:52,  vel:0C time:6208
note_on  - ch:00,  note:3E,  vel:40 time:62
note_off - ch:00,  note:41,  vel:40 time:8
controller - ch: 00, cont: #40, value: 5D
controller - ch: 00, cont: #40, value: 6B
controller - ch: 00, cont: #40, value: 7F
note_off - ch:00,  note:39,  vel:40 time:15
note_off - ch:00,  note:28,  vel:80 time:40
note_off - ch:00,  note:40,  vel:81 time:69
controller - ch: 00, cont: #40, value: 63
controller - ch: 00, cont: #40, value: 4D
note_on  - ch:00,  note:43,  vel:43 time:16
controller - ch: 00, cont: #40, value: 3A
note_on  - ch:00,  note:2B,  vel:3D time:5
controller - ch: 00, cont: #40, value: 21
note_off - ch:00,  note:43,  vel:40 time:22
controller - ch: 00, cont: #40, value: 00
note_off - ch:00,  note:2B,  vel:40 time:11
note_off - ch:00,  note:47,  vel:90 time:71
note_off - ch:00,  note:3D,  vel:80 time:69
note_off - ch:00,  note:45,  vel:40 time:40
note_off - ch:00,  note:57,  vel:90 time:87
note_off - ch:00,  note:3F,  vel:19 time:71
note_off - ch:00,  note:40,  vel:08 time:2110
note_off - ch:00,  note:3C,  vel:00 time:2103
note_off - ch:00,  note:3C,  vel:03 time:2113
note_off - ch:00,  note:47,  vel:40 time:71
note_off - ch:00,  note:3E,  vel:40 time:24
note_off - ch:00,  note:41,  vel:40 time:1
note_off - ch:00,  note:37,  vel:40 time:20
note_off - ch:00,  note:2D,  vel:90 time:45
