format: 0, nTracks: 1, division: 480
note_off - ch:00,  note:45,  vel:40 time:32
note_off - ch:00,  note:48,  vel:40 time:0
note_on  - ch:00,  note:47,  vel:47 time:198
note_on  - ch:00,  note:4A,  vel:47 time:0
note_off - ch:00,  note:47,  vel:40 time:32
note_off - ch:00,  note:4A,  vel:40 time:0
note_on  - ch:00,  note:48,  vel:47 time:198
note_on  - ch:00,  note:4C,  vel:47 time:0
note_on  - ch:00,  note:2D,  vel:45 time:0
note_off - ch:00,  note:48,  vel:40 time:32
note_off - ch:00,  note:4C,  vel:40 time:0
note_off - ch:00,  note:2D,  vel:40 time:29
note_on  - ch:00,  note:48,  vel:47 time:169
note_on  - ch:00,  note:4C,  vel:47 time:0
note_on  - ch:00,  note:39,  vel:45 time:0
note_off - ch:00,  note:48,  vel:40 time:32
note_off - ch:00,  note:4C,  vel:40 time:0
note_off - ch:00,  note:39,  vel:40 time:29
note_on  - ch:00,  note:4D,  vel:4E time:169
note_on  - ch:00,  note:30,  vel:45 time:0
note_off - ch:00,  note:30,  vel:40 time:61
note_off - ch:00,  note:4D,  vel:40 time:54
note_on  - ch:00,  note:4C,  vel:47 time:0
note_off - ch:00,  note:4C,  vel:40 time:115
note_on  - ch:00,  note:4A,  vel:47 time:0
note_on  - ch:00,  note:3C,  vel:45 time:0
note_off - ch:00,  note:3C,  vel:40 time:61
note_off - ch:00,  note:4A,  vel:40 time:54
note_on  - ch:00,  note:48,  vel:47 time:0
note_off - ch:00,  note:48,  vel:40 time:115
note_on  - ch:00,  note:47,  vel:42 time:1
note_on  - ch:00,  note:44,  vel:42 time:0
note_on  - ch:00,  note:34,  vel:3D time:0
note_on  - ch:00,  note:40,  vel:3F time:225
note_off - ch:00,  note:44,  vel:40 time:35
note_off - ch:00,  note:40,  vel:40 time:190
note_on  - ch:00,  note:45,  vel:3F time:0
note_on  - ch:00,  note:48,  vel:3F time:0
note_off - ch:00,  note:34,  vel:40 time:1
note_off - ch:00,  note:47,  vel:40 time:0
note_off - ch:00,  note:45,  vel:40 time:34
note_off - ch:00,  note:48,  vel:40 time:0
note_on  - ch:00,  note:47,  vel:3F time:191
note_on  - ch:00,  note:4A,  vel:3F time:0
note_off - ch:00,  note:47,  vel:40 time:35
note_off - ch:00,  note:4A,  vel:40 time:0
note_on  - ch:00,  note:48,  vel:3F time:190
note_on  - ch:00,  note:4C,  vel:3F time:0
note_on  - ch:00,  note:2D,  vel:31 time:0
note_off - ch:00,  note:48,  vel:40 time:36
note_off - ch:00,  note:4C,  vel:40 time:0
note_off - ch:00,  note:2D,  vel:40 time:10
note_on  - ch:00,  note:48,  vel:36 time:184
note_on  - ch:00,  note:4C,  vel:3E time:0
note_on  - ch:00,  note:39,  vel:31 time:0
note_off - ch:00,  note:48,  vel:40 time:36
note_off - ch:00,  note:4C,  vel:40 time:0
note_off - ch:00,  note:39,  vel:40 time:10
note_on  - ch:00,  note:4D,  vel:3F time:184
note_on  - ch:00,  note:30,  vel:31 time:0
note_off - ch:00,  note:30,  vel:40 time:47
note_off - ch:00,  note:4D,  vel:40 time:71
note_on  - ch:00,  note:4C,  vel:3F time:1
note_off - ch:00,  note:4C,  vel:40 time:118
note_on  - ch:00,  note:4A,  vel:3F time:0
note_on  - ch:00,  note:3C,  vel:31 time:0
note_off - ch:00,  note:3C,  vel:40 time:52
note_on  - ch:00,  note:48,  vel:3F time:79
note_off - ch:00,  note:4A,  vel:40 time:1
note_off - ch:00,  note:48,  vel:40 time:131
note_on  - ch:00,  note:44,  vel:37 time:0
note_on  - ch:00,  note:47,  vel:37 time:0
note_on  - ch:00,  note:34,  vel:24 time:7
note_off - ch:00,  note:34,  vel:40 time:473
